year,ifs,cowcode,country.x,police,polity2_P4,additive_FA,additive_FA_lagged,gdp_WDI_log10,gdp_WDI,pop_WDI_log10,pop_WDI,cameo_protests,trade_WDI,lji_LS,repress_index,repress_index_lagged,geocode,countryname,auton,author
1996,DOM,42,Dominican Republic,1,8,4,4,10.42552629,26639513654,6.90051804,7952763,1,72.64249087,0.429800004,4,4,Dominican Republic,Dom. Rep.,0,0
1996,ECU,130,Ecuador,1,9,4,5,10.65108411,44780002397,7.068303662,11703174,2,44.21570268,0.541100025,4,3,Ecuador,Ecuador,0,0
1996,EGY,651,Egypt,1,-6,3,4,11.0355378,109000000000,7.803468239,63601629,3,46.94856146,0.379999995,5,4,Egypt,Egypt,0,0
1996,ESP,230,Spain,0,10,5,6,11.98589151,968000000000,7.600862425,39889852,6,46.24521926,0.930800021,3,2,Spain,Spain,1,1
1996,FRA,220,France,1,9,8,8,12.3113448,2050000000000,7.776360441,59753100,44,44.32923995,0.778699994,0,0,France,France,1,1
1996,GHA,452,Ghana,0,2,6,6,10.19150084,15541782825,7.24210632,17462496,0,72.20494413,0.318800002,2,2,Ghana,Ghana,0,0
1996,GRC,350,Greece,1,10,6,6,11.33506857,216000000000,7.025666262,10608800,4,37.49623344,0.811200023,2,2,Greece,Greece,1,0
1996,GTM,90,Guatemala,1,8,3,2,10.40219693,25246252728,7.027213956,10646674,2,40.39295296,0.375800014,5,6,Guatemala,Guatemala,0,0
1996,HUN,310,Hungary,0,10,7,8,10.96660164,92598006819,7.013310811,10311238,2,83.29220667,0.92839998,1,0,Hungary,Hungary,0,0
1996,IND,750,India,1,9,0,0,11.84470948,699000000000,8.992272988,982365243,38,21.92948787,0.719399989,8,8,India,India,0,1
1996,ITA,325,Italy/Sardinia,1,10,7,6,12.27687293,1890000000000,7.754809002,56860281,13,42.87869833,0.933200002,1,2,Italy,Italy,1,1
1996,MAR,600,Morocco,1,-7,3,4,10.72339679,52892827881,7.437488528,27383473,3,47.09554345,0.289200008,5,4,Morocco,Morocco,0,0
1996,MEX,70,Mexico,0,4,1,2,11.87814708,755000000000,7.969169077,93147044,17,50.41920008,0.451200008,7,6,Mexico,Mexico,0,1
1996,MOZ,541,Mozambique,1,5,4,5,9.568759117,3704751797,7.203044914,15960442,2,45.31325657,0.28580001,4,3,Mozambique,Mozambique,0,0
1996,MYS,820,Malaysia,1,3,7,5,11.15068891,141000000000,7.322583391,21017613,3,181.7669825,0.450500011,1,3,Malaysia,Malaysia,0,1
